,created_at,text,retweet_count,favorite_count
0,Sat Apr 01 18:36:41 +0000 2023,"@maanestrale Total, Las Palabras Son De Aire, la idea es lo que vale. 
La verdad no tiene idioma. Las palabras son… https://t.co/KZz0HQzlEQ",0,3
1,Sat Apr 01 18:03:05 +0000 2023,@phojes7 @maanestrale Lo hago por si tienes hambre,1,5
2,Sat Apr 01 17:06:48 +0000 2023,https://t.co/0978VQmENm,51,178
3,Fri Mar 31 23:44:27 +0000 2023,@maanestrale A veces mi sale Inglés en español. Pero la verdad es la verdad. :),13,205
4,Fri Mar 31 19:52:46 +0000 2023,ES UN VENDIDO https://t.co/6kz7F83pXt,36,147
5,Fri Mar 31 19:50:54 +0000 2023,@Leeram90 And I thought she couldn't get any uglier...,0,5
6,Fri Mar 31 19:43:24 +0000 2023,"In May 2021, Soros donated $1 million to the Color of Change PAC, which, shortly after receiving the donation, spen… https://t.co/4qV54u4tob",97,143
7,Fri Mar 31 19:09:13 +0000 2023,THEY'RE INDICTING TRUMP SO YOU CAN FORGET THEM https://t.co/kKTEBWNq1x,62,133
8,Fri Mar 31 18:54:48 +0000 2023,REPORT: Taxpayer-Funded Theatre In Vancouver Will Hold Drag Queen Camp For 7-Year-Olds https://t.co/coJ76TZYUp,4,11
9,Fri Mar 31 18:01:56 +0000 2023,Parte de la estratégia de la izquierda es adoctrinar gente ignorantes o con problemas mentales como carne de cañon.… https://t.co/NFiyBIFcxB,2246,5184
10,Fri Mar 31 11:05:35 +0000 2023,Intentan ignorar la infame que mató a esos inocentes y achacarles la culpa a los Republicanos “por no cambiar las l… https://t.co/dyitxEbUEI,233,827
11,Fri Mar 31 10:54:10 +0000 2023,"Solo unos días después de que 6 cristianos fueran asesinados por una mujer trans, incluidos tres niños, White House… https://t.co/f2LUyEefUr",1004,1723
12,Fri Mar 31 10:50:13 +0000 2023,Joe Biden declara El Día Nacional del Trans… https://t.co/0VozssgPbG,57,89
13,Thu Mar 30 21:48:49 +0000 2023,@cegggierm14 INSURRECTION! INSURRECTION! INSURRECTION!,1,1
14,Thu Mar 30 14:03:35 +0000 2023,"CHICAGO TIENE LAS LEYES DE ARMAS MÁS ESTRICTAS EN EL PAIS Y TUVO MAS DE 1550 HERIDOS POR ARMAS ESTE AÑO.
 EN MAINE… https://t.co/O6IX4AzP6h",249,446
15,Thu Mar 30 14:02:31 +0000 2023,Pero quieren desarmar a todos los demás.,5,35
16,Thu Mar 30 13:43:50 +0000 2023,Si tú haces esto ya estaría preso https://t.co/fzuFnpdGRZ,60,147
17,Wed Mar 29 23:46:29 +0000 2023,¿Qué es esto? https://t.co/a8KRvqCjlv,3,12
